# Figure-8-style primordial GW spectrum
# V_inf^(1/4) = 1.50000000e+16 GeV
# h = 0.675
# P_T = 9.7269832849655301e-11
# 
# Columns:
# 1: f [Hz]
# 2: k [Mpc^-1]
# 3: Omega_GW h^2
2.1707033345077915e-16 1.4038159870546502e-01 1.1740554467792967e-16
2.1916566139649725e-16 1.4173666865977935e-01 1.1732126579823274e-16
2.2128121504109509e-16 1.4310481877985629e-01 1.1724009961969564e-16
2.2341718961840047e-16 1.4448617532540353e-01 1.1715898959422247e-16
2.2557378224678644e-16 1.4588086577488354e-01 1.1707793568296496e-16
2.2775119194736259e-16 1.4728901883727785e-01 1.1699693784710167e-16
2.2994961966234154e-16 1.4871076446396492e-01 1.1691771325234853e-16
2.3216926827358295e-16 1.5014623386071271e-01 1.1684032054960265e-16
2.3441034262131673e-16 1.5159555949978726e-01 1.1676297907630929e-16
2.3667304952304627e-16 1.5305887513217747e-01 1.1668568879855731e-16
2.3895759779263474e-16 1.5453631579993851e-01 1.1660844968245870e-16
2.4126419825957556e-16 1.5602801784865422e-01 1.1653398629232588e-16
2.4359306378844890e-16 1.5753411894001970e-01 1.1646018462448894e-16
2.4594440929856564e-16 1.5905475806454544e-01 1.1638642969568811e-16
2.4831845178380131e-16 1.6059007555438404e-01 1.1631272147632295e-16
2.5071541033262128e-16 1.6214021309628071e-01 1.1623950946755119e-16
2.5313550614829954e-16 1.6370531374464894e-01 1.1616908486524682e-16
2.5557896256933234e-16 1.6528552193477225e-01 1.1609870293023006e-16
2.5804600509004877e-16 1.6688098349613323e-01 1.1602836363665110e-16
2.6053686138142079e-16 1.6849184566587169e-01 1.1595806695867479e-16
2.6305176131207372e-16 1.7011825710237219e-01 1.1588923120690843e-16
2.6559093696949974e-16 1.7176036789898311e-01 1.1582206291129075e-16
2.6815462268147581e-16 1.7341832959786799e-01 1.1575493354577804e-16
2.7074305503768904e-16 1.7509229520399058e-01 1.1568784308780679e-16
2.7335647291157000e-16 1.7678241919923490e-01 1.1562079151482657e-16
2.7599511748233734e-16 1.7848885755666161e-01 1.1555608126730449e-16
2.7865923225725484e-16 1.8021176775490191e-01 1.1549201707000093e-16
2.8134906309410377e-16 1.8195130879269061e-01 1.1542798838983638e-16
2.8406485822387143e-16 1.8370764120353916e-01 1.1536399520711976e-16
2.8680686827365979e-16 1.8548092707055064e-01 1.1530035841716465e-16
2.8957534628981372e-16 1.8727133004137739e-01 1.1523921630550555e-16
2.9237054776127424e-16 1.8907901534332341e-01 1.1517810661662353e-16
2.9519273064315585e-16 1.9090414979859233e-01 1.1511702933332510e-16
2.9804215538055179e-16 1.9274690183968249e-01 1.1505598443842636e-16
3.0091908493256968e-16 1.9460744152493087e-01 1.1499614259402897e-16
3.0382378479659836e-16 1.9648594055420679e-01 1.1493781978305322e-16
3.0675652303280929e-16 1.9838257228475734e-01 1.1487952655176751e-16
3.0971757028889464e-16 2.0029751174720559e-01 1.1482126288517034e-16
3.1270719982504398e-16 2.0223093566170325e-01 1.1476302876826685e-16
3.1572568753916196e-16 2.0418302245423942e-01 1.1470676466823477e-16
3.1877331199232974e-16 2.0615395227310648e-01 1.1465112374704916e-16
3.2185035443451174e-16 2.0814390700552515e-01 1.1459550981565878e-16
3.2495709883051103e-16 2.1015307029442995e-01 1.1453992286097185e-16
3.2809383188617498e-16 2.1218162755541664e-01 1.1448458131228286e-16
3.3126084307485372e-16 2.1422976599385338e-01 1.1443147639990704e-16
3.3445842466411437e-16 2.1629767462215682e-01 1.1437839612081968e-16
3.3768687174271285e-16 2.1838554427723528e-01 1.1432534046359440e-16
3.4094648224782630e-16 2.2049356763810007e-01 1.1427230941681008e-16
3.4423755699254791e-16 2.2262193924364679e-01 1.1422026321328102e-16
3.4756039969364764e-16 2.2477085551060846e-01 1.1416959500009455e-16
3.5091531699960087e-16 2.2694051475168175e-01 1.1411894926337400e-16
3.5430261851888711e-16 2.2913111719382834e-01 1.1406832599314852e-16
3.5772261684856241e-16 2.3134286499675280e-01 1.1401772517945180e-16
3.6117562760310746e-16 2.3357596227155891e-01 1.1396878356702231e-16
3.6466196944355367e-16 2.3583061509958606e-01 1.1392043893260484e-16
3.6818196410689131e-16 2.3810703155142746e-01 1.1387211480558955e-16
3.7173593643576086e-16 2.4040542170613194e-01 1.1382381117727730e-16
3.7532421440843077e-16 2.4272599767059108e-01 1.1377566499724876e-16
3.7894712916906505e-16 2.4506897359911331e-01 1.1372952571137020e-16
3.8260501505828373e-16 2.4743456571318775e-01 1.1368340513629133e-16
3.8629820964401608e-16 2.4982299232143743e-01 1.1363730326442478e-16
3.9002705375265386e-16 2.5223447383976627e-01 1.1359122008818552e-16
3.9379189150050450e-16 2.5466923281170012e-01 1.1354594500754056e-16
3.9759307032554787e-16 2.5712749392892437e-01 1.1350192572098780e-16
4.0143094101949926e-16 2.5960948405201922e-01 1.1345792349975225e-16
4.0530585776018223e-16 2.6211543223139583e-01 1.1341393833721841e-16
4.0921817814421449e-16 2.6464556972843412e-01 1.1336997022677282e-16
4.1316826322000793e-16 2.6720013003682475e-01 1.1332739188060102e-16
4.1715647752108842e-16 2.6977934890411703e-01 1.1328537870841328e-16
4.2118318909973654e-16 2.7238346435347488e-01 1.1324338111151241e-16
4.2524876956095353e-16 2.7501271670564281e-01 1.1320139908412425e-16
4.2935359409675467e-16 2.7766734860112408e-01 1.1315950553591415e-16
4.3349804152079401e-16 2.8034760502257244e-01 1.1311942225672457e-16
4.3768249430332300e-16 2.8305373331740064e-01 1.1307935317580550e-16
4.4190733860648663e-16 2.8578598322060667e-01 1.1303929828812765e-16
4.4617296431996095e-16 2.8854460687782069e-01 1.1299925758866348e-16
4.5047976509693347e-16 2.9132985886857438e-01 1.1295986997921461e-16
4.5482813839043165e-16 2.9414199622979442e-01 1.1292161263471417e-16
4.5921848549000221e-16 2.9698127847952366e-01 1.1288336824724354e-16
4.6365121155874313e-16 2.9984796764087024e-01 1.1284513681241450e-16
4.6812672567069504e-16 3.0274232826618874e-01 1.1280691832583998e-16
4.7264544084859260e-16 3.0566462746149425e-01 1.1276988961570094e-16
4.7720777410197980e-16 3.0861513491111225e-01 1.1273340475526933e-16
4.8181414646569348e-16 3.1159412290256638e-01 1.1269693169891988e-16
4.8646498303871983e-16 3.1460186635170667e-01 1.1266047044283378e-16
4.9116071302342287e-16 3.1763864282807980e-01 1.1262404272996203e-16
4.9590176976515484e-16 3.2070473258054505e-01 1.1258920567053388e-16
5.0068859079224651e-16 3.2380041856313668e-01 1.1255437938696369e-16
5.0552161785638515e-16 3.2692598646117654e-01 1.1251956387591863e-16
5.1040129697338114e-16 3.3008172471763847e-01 1.1248475913406636e-16
5.1532807846432860e-16 3.3326792455976717e-01 1.1245049264283332e-16
5.2030241699716345e-16 3.3648488002595434e-01 1.1241726740337924e-16
5.2532477162862223e-16 3.3973288799287377e-01 1.1238405198083649e-16
5.3039560584660632e-16 3.4301224820287868e-01 1.1235084637230466e-16
